task,tokenizer,n_words,mean_fertility,median_fertility,pct_words_over_3_subwords
wisesight_sentiment,wangchanberta,564691,1.9997,2,0.0466
wisesight_sentiment,phayathaibert,564691,1.8996,2,0.0385
